"title","author","journal","number","cites","year","cid","pubid"
"A Student's Guide to Bayesian Statistics","B Lambert","Sage Publications Ltd. London","",207,2018,"16984598066043047521","IjCSPb-OGe4C"
"The potential public health consequences of COVID-19 on malaria in Africa","E Sherrard-Smith, AB Hogan, A Hamlet, OJ Watson, C Whittaker, ...","Nature medicine","26 (9), 1411-1416",118,2020,"7992830518840875442,7243690302904645635","-f6ydRqryjwC"
"What does the COVID-19 pandemic mean for HIV, tuberculosis, and malaria control?","F Amimo, B Lambert, A Magit","Tropical medicine and health","48 (1), 1-4",95,2020,"7826530816688378547","4DMP91E08xMC"
"Epidemiological and ecological determinants of Zika virus transmission in an urban setting","J Lourenço, MM de Lima, NR Faria, A Walker, MUG Kraemer, ...","Elife","6",80,2017,"11944617064798304829","2osOgNQ5qMEC"
"Monitoring the age of mosquito populations using near-infrared spectroscopy","B Lambert, MT Sikulu-Lord, VS Mayagaya, G Devine, F Dowell, ...","Scientific reports","8 (1), 1-9",43,2018,"1398248350183701886","u-x6o8ySG0sC"
"Bayesian inference of agent-based models: a tool for studying kidney branching morphogenesis","B Lambert, AL MacLean, AG Fletcher, AN Combes, MH Little, HM Byrne","Journal of mathematical biology","76 (7), 1673-1697",41,2018,"13536533562108450741","qjMakFHDy7sC"
"Movement reveals reproductive tactics in male elephants","LA Taylor, F Vollrath, B Lambert, D Lunn, I Douglas‐Hamilton, ...","Journal of Animal Ecology","89 (1), 57-67",26,2020,"16143328675511206653","MXK_kJrjxJIC"
"Probabilistic inference on noisy time series (PINTS)","M Clerx, M Robinson, B Lambert, CL Lei, S Ghosh, GR Mirams, ...","arXiv preprint arXiv:",":1812.07388",25,2018,"17453422562488409385","hqOjcs7Dif8C"
"Birds invest wingbeats to keep a steady head and reap the ultimate benefits of flying together","LA Taylor, GK Taylor, B Lambert, JA Walker, D Biro, SJ Portugal","PLoS biology","17 (6), e3000299",22,2019,"3687495290997938784,10284643958128844085","3fE2CSJIrl8C"
"The pace of modern culture","B Lambert, G Kontonatsios, M Mauch, T Kokkoris, M Jockers, ...","Nature Human Behaviour","4 (4), 352-360",21,2020,"14068337981691611342","Zph67rFs4hoC"
"Plasmodium falciparum resistance to sulfadoxine-pyrimethamine in Africa: a systematic analysis of national trends","F Amimo, B Lambert, A Magit, J Sacarlal, M Hashizume, K Shibuya","BMJ global health","5 (11), e003217",20,2020,"13478802460375042017","R3hNpaxXUhUC"
"The use of driving endonuclease genes to suppress mosquito vectors of malaria in temporally variable environments","B Lambert, A North, A Burt, HCJ Godfray","Malaria journal","17 (1), 1-14",20,2018,"18035449431306822776","UeHWp8X0CEIC"
"Neutral syndrome","AM Leroi, B Lambert, J Rosindell, X Zhang, GD Kokkoris","Nature human behaviour","4 (8), 780-790",18,2020,"3792485849235570178","aqlVkmm33-oC"
"Endemic and epidemic human alphavirus infections in eastern Panama: An analysis of population-based cross-sectional surveys","JP Carrera, ZM Cucunubá, K Neira, B Lambert, Y Pittí, J Liscano, ...","The American journal of tropical medicine and hygiene","103 (6), 2429",13,2020,"15239144159974240452","KlAtU1dfN6UC"
"What does the COVID-19 pandemic mean for HIV, tuberculosis, and malaria control? Trop Med Health. 2020; 48: 32","F Amimo, B Lambert, A Magit","","",12,NA,"5003931826637390615","r0BpntZqJG4C"
"A review of prospective pathways and impacts of COVID-19 on the accessibility, safety, quality, and affordability of essential medicines and vaccines for universal health …","F Amimo, B Lambert, A Magit, M Hashizume","Globalization and health","17 (1), 1-15",11,2021,"5340153401644755966","iH-uZ7U-co4C"
"Systematic review of the entomological impact of insecticide-treated nets evaluated using experimental hut trials in Africa","RK Nash, B Lambert, R NʼGuessan, C Ngufor, M Rowland, R Oxborough, ...","Current research in parasitology & vector-borne diseases","1, 100047",11,2021,"6819387533168951936","bEWYMUwI8FkC"
"Exploring movement decisions: Can Bayesian movement‐state models explain crop consumption behaviour in elephants (Loxodonta africana)?","SM Vogel, B Lambert, AC Songhurst, GP McCulloch, AL Stronza, ...","Journal of Animal Ecology","89 (4), 1055-1068",11,2020,"3162129542351890576","YOwf2qJgpHMC"
"Review and meta-analysis of the evidence for choosing between specific pyrethroids for programmatic purposes","N Lissenden, MD Kont, J Essandoh, HM Ismail, TS Churcher, B Lambert, ...","Insects","12 (9), 826",7,2021,"5496717770666301984","JV2RwH3_ST0C"
"On revolutions","AM Leroi, B Lambert, M Mauch, M Papadopoulou, S Ananiadou, ...","Palgrave Communications","6 (1), 1-11",7,2020,"6023655679579834322","d1gkVwhDpl0C"
"A dynamic Bayesian model for identifying high-mortality risk in hospitalized COVID-19 patients","A Momeni-Boroujeni, R Mendoza, IJ Stopard, B Lambert, A Zuretti","Infectious disease reports","13 (1), 239-250",6,2021,"14076369863050383199","4JMBOYKVnBMC"
"Estimating the extrinsic incubation period of malaria using a mechanistic model of sporogony","IJ Stopard, TS Churcher, B Lambert","PLoS computational biology","17 (2), e1008658",6,2021,"5149125304854441626","hFOr9nPyWt4C"
"The potential impact of the COVID-19 pandemic on HIV, tuberculosis, and malaria control in Africa: a systematic review of modelling studies and population surveys","F Amimo, B Lambert, A Magit, M Hashizume","","",5,2020,"12004316005460458489","mB3voiENLucC"
"Model evidence with fast tree based quadrature","T Foster, CL Lei, M Robinson, D Gavaghan, B Lambert","arXiv preprint arXiv:",":2005.11300",5,2020,"2612252036941875857","mVmsd5A6BfQC"
"Functional data analysis techniques to improve the generalizability of near-infrared spectral data for monitoring mosquito populations","PM Esperança, DF Da, B Lambert, RK Dabiré, TS Churcher","bioRxiv","",5,2020,"4079660297218475160","M3ejUd6NZC8C"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant","JT McCrone, V Hill, S Bajaj, RE Pena, BC Lambert, R Inward, S Bhatt, ...","medRxiv","",4,2021,"12435766084223148416","J_g5lzvAfSwC"
"HIV-1 p24Gag adaptation to modern and archaic HLA-allele frequency differences in ethnic groups contributes to viral subtype diversification","NC Kist, B Lambert, S Campbell, A Katzourakis, D Lunn, P Lemey, ...","Virus evolution","6 (2), veaa085",4,2020,"2443007115765028552","HDshCWvjkbEC"
"A Monte Carlo method to estimate cell population heterogeneity","B Lambert, DJ Gavaghan, S Tavener","bioRxiv","758284",4,2019,"285792829179463184,12872846560738609050","kNdYIx-mwKoC"
"Heterogeneity in the onwards transmission risk between local and imported cases affects practical estimates of the time-dependent reproduction number","R Creswell, D Augustin, I Bouros, HJ Farm, S Miao, A Ahern, M Robinson, ...","Philosophical Transactions of the Royal Society A","380 (2233), 20210308",3,2022,"4406525749069639830","HoB7MX3m0LUC"
"R∗: A robust MCMC convergence diagnostic with uncertainty using decision tree classifiers","B Lambert, A Vehtari","Bayesian Analysis","17 (2), 353-379",3,2022,"8256056172054141384","_Qo2XoVZTnwC"
